text,label
আজকে আমি সবার ওপর খুবই অসন্তুষ্ট কারণ তুমি আমার সাথে মিথ্যা কথা বলেছ।,angry
আজ আমার মেজাজ ভীষণ সহ্য করতে পারছি না এবং এই চরম অন্যায় আমি কোনোভাবেই মেনে নেব না।,angry
আজকে আমি সবার ওপর সত্যিই রাগান্বিত এবং এই চরম অন্যায় আমি কোনোভাবেই মেনে নেব না।,angry
আমরা বিজ্ঞানীরা নতুন খবরের কাগজ পড়েন এবং তারা দলগত আলোচনা সভার আয়োজন করেছে।,neutral
বিপদের মুখে আমি অনেক আশঙ্কায় আছি কারণ হঠাৎ একটা বিকট শব্দ শুনে চমকে উঠলাম।,fear
আমার পরিবার মন থেকে কান্না পাচ্ছি কারণ চাকরিটা হাতছাড়া হয়ে গেল।,sad
আমাদের টিম চরম বুক কাঁপছে কারণ মনে হচ্ছে কেউ আমার পিছু নিচ্ছে।,fear
সে বিজ্ঞানীরা নতুন অক্সিজেন দিয়ে পরিবেশ রক্ষা করেন এবং তারা দলগত আলোচনা সভার আয়োজন করেছে।,neutral
আমার বন্ধু দারুণ সফল হয়েছি এবং সবাই আমাদের অভিনন্দন জানাচ্ছে।,happy
আমি সাধারণত অফিসের কাজ করেন যা মানুষের জ্ঞান বৃদ্ধি করতে সাহায্য করে।,neutral
আমরা সত্যিই আনন্দিত কারণ আমাদের সব চেষ্টা সফল হয়েছে।,happy
আমরা অসাধারণ উজ্জ্বল হাসছি কারণ আমাদের সব চেষ্টা সফল হয়েছে।,happy
আমি খুবই খারাপ এবং চোখ দিয়ে অশ্রু ঝরছে।,sad
আমাদের দল আজ ক্ষোভ প্রকাশ করছি এবং এই চরম অন্যায় আমি কোনোভাবেই মেনে নেব না।,angry
আমাদের পুরো পরিবার দারুণভাবে বিষণ্ণ এবং কেউ আমার মনের কষ্ট বোঝে না।,sad
আমার বন্ধু খুবই বেদনাদায়ক অবস্থায় আছি এবং নিজেকে খুব আশাহীন ও একা মনে হচ্ছে।,sad
অন্যায় দেখে আমি খুবই অসন্তুষ্ট কারণ তুমি আমার বিশ্বাস নিয়ে প্রতারণা করেছ।,angry
আমার বোন অনেক আশঙ্কায় আছি এবং ঐ অন্ধকার ও ভূতুড়ে বাড়িটার সামনে দিয়ে যাওয়ার সাহস নেই।,fear
পরীক্ষার পর আমি মন থেকে সুখী এবং সবাই আমাদের অভিনন্দন জানাচ্ছে।,happy
আমার সহকর্মী চরম বিরক্ত কারণ তুমি আমার বিশ্বাস নিয়ে প্রতারণা করেছ।,angry
বিজ্ঞানীরা ল্যাবে কৃষকেরা জমিতে অফিসের কাজ করেন এবং সবাই মিলে গুরুত্বপূর্ণ সিদ্ধান্ত নিয়েছে।,neutral
ব্যর্থতার পর আমি মন থেকে খারাপ কারণ প্রিয় মানুষটি দূরে চলে গেছে।,sad
আমরা ছাত্ররা লাইব্রেরিতে অফিসের কাজ করেন এবং পরিবেশ সুন্দর রাখতে বড় ভূমিকা রাখে।,neutral
তিনি আজকে সাইকেল পরিষ্কার করেন এবং সাধারণ কাজগুলো সফলভাবে সম্পন্ন করেছে।,neutral
